id,Drought Count,Flooding Count,Freeze Count,Severe Storm Count,Tropical Cyclone Count,Wildfire Count,Winter Storm Count,Drought Cost,Flooding Cost,Freeze Cost,Severe Storm Cost,Tropical Cyclone Cost,Wildfire Cost,Winter Storm Cost,Total Count,Total Cost
AK,0,0,0,0,0,8,0,0,0,0,0,0,2214.4,0,8,2214.4
AL,15,2,3,47,24,2,8,6482.4,130,143.6,12615.1,25594.2,691.3,2114.9,101,47771.5
AR,15,9,2,46,5,0,7,6360,4439.4,281.2,7319,682,0,915.7,84,19997.3
AZ,14,2,0,1,0,14,0,1308.1,632.7,0,5168,0,1281.3,0,31,8390.1
CA,14,5,3,4,0,19,0,15629.6,13676.3,14614,3330.4,0,94640.7,0,45,141891
CO,15,2,1,32,0,12,2,6742.4,1958.7,98.8,23537.9,0,6847.9,130,64,39315.7
CT,1,1,1,10,10,0,15,12.6,308.6,39.5,736.2,5687.1,0,2694.3,38,9478.3
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,5,1,1,5,8,0,11,836.8,22.1,11.9,177.9,980,0,848.1,31,2876.8
FL,7,2,5,21,31,4,5,1444.4,1590.6,13119.2,4140.8,349104,289.4,3791.6,75,373480
GA,15,3,3,49,23,3,11,7826.6,1322.9,1240.9,9519.4,17805.8,278.9,1861.7,107,39856.2
HI,0,0,0,0,1,0,0,0,0,0,0,6541,0,0,1,6541
IA,14,6,2,45,0,0,2,14710.1,23093.3,73.1,18470.5,0,0,128.8,69,56475.8
ID,12,3,1,0,0,15,0,3330.9,554.2,11.9,0,0,3361.8,0,31,7258.8
IL,11,6,2,74,1,0,10,16322,9360.8,406.7,19546.3,978.8,0,1783,104,48397.6
IN,8,6,2,57,1,0,8,8289.8,5219.8,220.8,11434.2,997.8,0,563.6,82,26726
KS,18,6,2,57,0,0,2,21901.6,3455.2,165.7,11053.2,0,0,77.7,85,36653.4
KY,10,4,3,45,4,0,12,7446.3,906.7,240.9,11881.5,1244.4,0,1307.9,78,23027.7
LA,13,10,1,33,25,0,8,5041,20368.6,197.6,10748.6,254926.7,0,2137.5,90,293420
MA,1,1,1,10,9,0,13,18.9,315.1,47.4,574.5,3484.3,0,4143.7,35,8583.9
MD,9,4,1,28,14,0,15,3198.1,258.5,31.6,2766.5,6089.3,0,2621.5,71,14965.5
ME,1,0,0,2,2,0,9,12.6,0,0,195.5,135.4,0,1365.4,14,1708.9
MI,5,3,1,32,0,0,6,3109.2,2042.2,47.4,4829.6,0,0,418.2,47,10446.6
MN,11,4,1,29,0,2,2,8962.3,5382.5,51.4,20454.9,0,95.1,161.7,49,35107.9
MO,14,9,2,63,1,0,8,11208.8,15371.6,618.5,21502.7,477.8,0,506.8,97,49686.2
MS,15,5,3,43,21,1,9,8238.1,3543.6,122.1,5256.8,58516.9,40.8,4355.2,97,80073.5
MT,12,4,1,2,0,14,0,12413.9,337.3,11.9,1092.2,0,3283.7,0,33,17139
NC,12,1,3,42,28,2,16,9880.8,63.4,294.9,6890.1,64716.7,85.5,1970.1,104,83901.5
ND,12,4,1,3,0,1,1,22238.7,9220.5,11.9,288.2,0,12.5,36.7,22,31808.5
NE,11,5,2,35,0,1,1,15318.6,4941.2,81.9,12623.7,0,55.2,0,55,33020.6
NH,1,0,0,3,4,0,9,12.6,0,0,154.7,436.8,0,1371.2,17,1975.3
NJ,6,3,1,21,12,0,15,474.3,1111.1,47.4,3289,50424.5,0,5002.1,58,60348.4
NM,16,0,0,7,1,11,0,3004,0,0,1004.1,287.6,2577,0,35,6872.7
NV,13,1,0,1,0,11,1,420.2,1028.5,0,59.3,0,1179.4,42.9,27,2730.3
NY,4,3,1,36,14,0,19,596.1,1929.8,67.2,3472.9,64931.6,0,6168.7,77,77166.3
OH,9,4,2,53,4,0,12,6038.4,1190.3,393.9,14195.8,3171,0,1212.7,84,26202.1
OK,16,6,2,62,0,6,7,11487.1,2449.5,593.5,21612.9,0,328.9,896.8,99,37368.7
OR,15,3,1,2,0,16,2,3997.7,1565.4,130.4,101.1,0,5600.9,423.8,39,11819.3
PA,7,3,1,47,14,0,18,2376.9,1120,98.8,7341.1,11166.3,0,3323.6,90,25426.7
PR,0,0,0,0,8,0,0,0,0,0,0,119395,0,0,8,119395
RI,1,1,1,5,8,0,12,12.6,167.8,7.9,153.6,1281.4,0,928.1,28,2551.4
SC,12,2,3,36,22,0,13,4093.6,2377.2,616.5,4192.7,23069.4,0,1250.3,88,35599.7
SD,12,4,1,13,0,2,1,13256.8,5229.9,23.7,2015.3,0,102.6,0,33,20628.3
TN,14,4,3,52,8,1,14,6897.7,3748.1,184.6,18958,1247.2,1736,1867.8,96,34639.4
TX,18,9,1,93,14,7,9,37757.4,14456.5,532,67980.3,227903.2,2987.2,23703.2,151,375319.8
UT,12,1,1,1,0,10,0,499.8,1520,11.9,27.1,0,1328.1,0,25,3386.9
VA,12,4,3,39,21,0,17,4476.5,2092.5,86.3,3100.5,10165.8,0,2626.2,96,22547.8
VI,0,0,0,0,5,0,0,0,0,0,0,19912,0,0,5,19912
VT,1,0,0,4,3,0,8,12.6,0,0,149,1106.3,0,1023.2,16,2291.1
WA,11,3,1,1,0,15,1,3812.7,1038.9,106.7,64.9,0,2872.4,175.2,32,8070.8
WI,8,3,1,36,0,0,3,5453.8,5883.9,47.4,7607.8,0,0,128.8,51,19121.7
WV,6,2,2,14,5,0,11,2190.9,2693.3,66.1,817.1,790.6,0,774,40,7332
WY,10,0,1,8,0,9,0,2659.3,0,7.9,996.6,0,1045.4,0,28,4709.2
