Year,Category,Frequency,
1980,Drought,1,
1980,Flooding,1,
1980,Freeze,0,
1980,Severe Storm,0,
1980,Tropical Cyclone,1,
1980,Wildfire,0,
1980,Winter Storm,0,
1981,Drought,0,
1981,Flooding,0,
1981,Freeze,1,
1981,Severe Storm,1,
1981,Tropical Cyclone,0,
1981,Wildfire,0,
1981,Winter Storm,0,
1982,Drought,0,
1982,Flooding,0,
1982,Freeze,0,
1982,Severe Storm,2,
1982,Tropical Cyclone,0,
1982,Wildfire,0,
1982,Winter Storm,1,
1983,Drought,1,
1983,Flooding,2,
1983,Freeze,1,
1983,Severe Storm,0,
1983,Tropical Cyclone,1,
1983,Wildfire,0,
1983,Winter Storm,0,
1984,Drought,0,
1984,Flooding,0,
1984,Freeze,0,
1984,Severe Storm,2,
1984,Tropical Cyclone,0,
1984,Wildfire,0,
1984,Winter Storm,0,
1985,Drought,0,
1985,Flooding,1,
1985,Freeze,1,
1985,Severe Storm,1,
1985,Tropical Cyclone,3,
1985,Wildfire,0,
1985,Winter Storm,1,
1986,Drought,1,
1986,Flooding,0,
1986,Freeze,0,
1986,Severe Storm,1,
1986,Tropical Cyclone,0,
1986,Wildfire,0,
1986,Winter Storm,0,
1987,Drought,0,
1987,Flooding,0,
1987,Freeze,0,
1987,Severe Storm,0,
1987,Tropical Cyclone,0,
1987,Wildfire,0,
1987,Winter Storm,0,
1988,Drought,1,
1988,Flooding,0,
1988,Freeze,0,
1988,Severe Storm,0,
1988,Tropical Cyclone,0,
1988,Wildfire,0,
1988,Winter Storm,0,
1989,Drought,1,
1989,Flooding,0,
1989,Freeze,1,
1989,Severe Storm,1,
1989,Tropical Cyclone,2,
1989,Wildfire,0,
1989,Winter Storm,1,
1990,Drought,0,
1990,Flooding,1,
1990,Freeze,1,
1990,Severe Storm,1,
1990,Tropical Cyclone,0,
1990,Wildfire,1,
1990,Winter Storm,0,
1991,Drought,1,
1991,Flooding,0,
1991,Freeze,0,
1991,Severe Storm,1,
1991,Tropical Cyclone,1,
1991,Wildfire,1,
1991,Winter Storm,0,
1992,Drought,0,
1992,Flooding,0,
1992,Freeze,0,
1992,Severe Storm,4,
1992,Tropical Cyclone,2,
1992,Wildfire,0,
1992,Winter Storm,1,
1993,Drought,1,
1993,Flooding,1,
1993,Freeze,0,
1993,Severe Storm,1,
1993,Tropical Cyclone,0,
1993,Wildfire,1,
1993,Winter Storm,1,
1994,Drought,0,
1994,Flooding,1,
1994,Freeze,0,
1994,Severe Storm,1,
1994,Tropical Cyclone,1,
1994,Wildfire,1,
1994,Winter Storm,2,
1995,Drought,1,
1995,Flooding,1,
1995,Freeze,0,
1995,Severe Storm,2,
1995,Tropical Cyclone,3,
1995,Wildfire,0,
1995,Winter Storm,0,
1996,Drought,1,
1996,Flooding,1,
1996,Freeze,0,
1996,Severe Storm,0,
1996,Tropical Cyclone,1,
1996,Wildfire,0,
1996,Winter Storm,1,
1997,Drought,0,
1997,Flooding,2,
1997,Freeze,0,
1997,Severe Storm,1,
1997,Tropical Cyclone,0,
1997,Wildfire,0,
1997,Winter Storm,0,
1998,Drought,1,
1998,Flooding,1,
1998,Freeze,1,
1998,Severe Storm,3,
1998,Tropical Cyclone,3,
1998,Wildfire,0,
1998,Winter Storm,1,
1999,Drought,1,
1999,Flooding,0,
1999,Freeze,0,
1999,Severe Storm,1,
1999,Tropical Cyclone,1,
1999,Wildfire,0,
1999,Winter Storm,2,
2000,Drought,1,
2000,Flooding,1,
2000,Freeze,0,
2000,Severe Storm,1,
2000,Tropical Cyclone,0,
2000,Wildfire,1,
2000,Winter Storm,1,
2001,Drought,0,
2001,Flooding,0,
2001,Freeze,0,
2001,Severe Storm,2,
2001,Tropical Cyclone,1,
2001,Wildfire,0,
2001,Winter Storm,0,
2002,Drought,1,
2002,Flooding,0,
2002,Freeze,0,
2002,Severe Storm,2,
2002,Tropical Cyclone,2,
2002,Wildfire,1,
2002,Winter Storm,0,
2003,Drought,1,
2003,Flooding,0,
2003,Freeze,0,
2003,Severe Storm,4,
2003,Tropical Cyclone,1,
2003,Wildfire,1,
2003,Winter Storm,0,
2004,Drought,0,
2004,Flooding,0,
2004,Freeze,0,
2004,Severe Storm,2,
2004,Tropical Cyclone,4,
