Region,Stock levels are higher than normal,Stock levels have not changed,Stock levels are lower than normal,Not sure,Not applicable
Northern Ireland,16.3%,40.5%,10.2%,9.5%,23.5%
Scotland,12.2%,41.0%,10.4%,7.1%,29.3%
Wales,12.4%,42.6%,11.3%,7.9%,25.8%
England,11.9%,37.9%,9.6%,6.0%,34.6%
South West,12.6%,42.7%,9.7%,7.3%,27.6%
South East,10.7%,39.2%,9.3%,6.8%,34.0%
London,7.3%,29.7%,7.5%,7.5%,48.0%
Eastern,13.7%,40.5%,10.4%,6.8%,28.6%
West Midlands,15.7%,42.3%,9.7%,6.9%,25.4%
East Midlands,13.3%,44.8%,8.8%,7.6%,25.5%
Yorkshire and the Humber,14.6%,43.3%,9.2%,7.2%,25.6%
North West,12.4%,39.6%,9.7%,6.9%,31.4%
North East,13.7%,40.5%,10.4%,9.3%,26.1%
