rank,country,currency_symbol,currency_symbol,local_price,gbp,eur,usd
1,Canada,C$,"C$231,700",231700,136703,150373,173613
2,Mexico,MXN,"MXN 3,998,000",3998000,139930,153923,177711
3,United Kingdom,£,"£155,970",155970,155970,171567,198082
4,Jordan,JOD,"JOD 141,000",141000,156510,172161,198768
5,Kuwait,KWD,"KWD 61,700",61700,157952,173747,200599
6,United States of America,$,"$203,500",203500,160765,176842,203500
7,Oman,OMR,"OMR 78,500",78500,160925,177018,204375
8,Russia,₽,"15,450,000 ₽",15450000,169950,186945,215837
9,Bahrain,BHD,"BHD 81,346",81346,170013,187014,215917
10,South Korea,₩,"₩269,800,000",269800000,178068,195875,226146
11,Dominican Republic,$,"$235,000",235000,185650,204215,235000
12,Saudi Arabia,SAR,"SAR 890,715",890715,187050,205755,237554
13,Chile,$,"$239,900",239900,189521,208473,239900
14,Germany,€,"€212,711",212711,193567,212711,245830
15,Belarus,€,"€213,600",213600,194376,213600,246858
16,Moldova,€,"€215,000",215000,195650,215000,248476
17,Luxembourg,€,"€215,026",215026,195674,215026,248506
18,Bulgaria,BGN,"432,903 BGN",432903,199135,219049,252902
19,Estonia,€,"€219,360",219360,199618,219360,253514
20,France,€,"€221,135",221135,201233,221135,255566
21,Cyprus,€,"€221,300",221300,201383,221300,255756
22,Belgium,€,"€223,100",223100,203021,223100,257836
23,Romania,€,"€224,145",224145,203972,224145,259044
24,Italy,€,"€224,559",224559,204349,224559,259523
25,Bosnia and Herzegovina,KM,"436,400 KM",436400,205108,225619,260487
26,Sweden,kr,"2,375,000 kr",2375000,211375,232513,268446
27,Ukraine,грн.,"7,600,950 грн.",7600950,212827,234109,270290
28,Japan,¥,"¥28,920,000",28920000,214008,235409,271790
29,New Zealand,NZ$,"NZ$407,900",407900,216187,237806,274557
30,Brunei,BND$,"BND$379,900",379900,216543,238197,275010
31,Panama,$,"$277,800",277800,219462,241408,277800
32,Guatemala,$,"$286,700",286700,226493,249142,286700
33,Spain,€,"€249,963",249963,227466,249963,288882
34,Switzerland,CHF,"CHF 271,600",271600,230860,253946,293192
35,Portugal,€,"€266,903",266903,242882,266903,308460
36,Netherlands,€,"€272,500",272500,247975,272500,314928
37,Austria,€,"€279,072",279072,253956,279072,322524
38,China,¥,"¥2,336,000",2336000,256960,282656,326339
39,Lebanon,$,"$331,300",331300,261727,287900,331300
40,Republic of Ireland,€,"€289,471",289471,263419,289471,334542
41,Norway,kr.,"kr. 3,081,900",3081900,265043,291548,336605
42,Colombia,$,"$357,300",357300,282267,310494,357300
43,Taiwan,NT$,"NT$11,560,000",11560000,312120,343332,396392
44,Jamaica,$,"$420,120",420120,331895,365084,420120
45,Finland,€,"€380,052",380052,345847,380052,439226
46,Cambodia,$,"$509,000",509000,402110,442321,509000
47,Pakistan,$,"$627,600",627600,495804,545384,627600
48,Thailand,฿,"฿20,900,000",20900000,522500,574750,663575
49,Vietnam,₫,"15,430,000,000 ₫",15430000000,524620,577082,666267
50,Singapore,SGD$,"SGD$924,488",924488,526958,579654,669237
51,Argentina,$,"$696,000",696000,549840,604824,696000
