Date,Female,Male
"Wednesday, 1 July 2020","2,907,700","2,723,600"
"Thursday, 2 July 2020","2,908,100","2,724,100"
"Friday, 3 July 2020","2,904,600","2,721,500"
"Saturday, 4 July 2020","2,894,200","2,714,800"
"Sunday, 5 July 2020","2,888,500","2,711,000"
"Monday, 6 July 2020","2,881,300","2,703,400"
"Tuesday, 7 July 2020","2,876,100","2,698,500"
"Wednesday, 8 July 2020","2,863,200","2,688,500"
"Thursday, 9 July 2020","2,858,500","2,685,600"
"Friday, 10 July 2020","2,854,000","2,683,000"
"Saturday, 11 July 2020","2,844,500","2,674,300"
"Sunday, 12 July 2020","2,837,100","2,671,100"
"Monday, 13 July 2020","2,813,000","2,648,600"
"Tuesday, 14 July 2020","2,807,700","2,644,000"
"Wednesday, 15 July 2020","2,801,600","2,638,300"
"Thursday, 16 July 2020","2,794,800","2,631,500"
"Friday, 17 July 2020","2,790,900","2,627,900"
"Saturday, 18 July 2020","2,778,900","2,615,300"
"Sunday, 19 July 2020","2,769,000","2,610,000"
"Monday, 20 July 2020","2,745,500","2,590,500"
"Tuesday, 21 July 2020","2,735,900","2,582,100"
"Wednesday, 22 July 2020","2,730,100","2,577,800"
"Thursday, 23 July 2020","2,724,900","2,573,100"
"Friday, 24 July 2020","2,715,800","2,565,100"
"Saturday, 25 July 2020","2,699,600","2,550,800"
"Sunday, 26 July 2020","2,681,200","2,537,400"
"Monday, 27 July 2020","2,647,500","2,507,600"
"Tuesday, 28 July 2020","2,638,700","2,500,800"
"Wednesday, 29 July 2020","2,627,600","2,491,800"
"Thursday, 30 July 2020","2,621,300","2,486,200"
"Friday, 31 July 2020","2,599,300","2,463,900"
"Saturday, 1 August 2020","2,131,900","1,934,300"
"Sunday, 2 August 2020","2,132,100","1,933,900"
"Monday, 3 August 2020","2,131,000","1,928,500"
"Tuesday, 4 August 2020","2,127,700","1,925,600"
"Wednesday, 5 August 2020","2,126,300","1,924,700"
"Thursday, 6 August 2020","2,125,300","1,923,900"
"Friday, 7 August 2020","2,124,600","1,923,300"
"Saturday, 8 August 2020","2,119,400","1,916,400"
"Sunday, 9 August 2020","2,116,800","1,913,000"
"Monday, 10 August 2020","2,106,000","1,899,600"
"Tuesday, 11 August 2020","2,103,000","1,897,000"
"Wednesday, 12 August 2020","2,101,700","1,896,100"
"Thursday, 13 August 2020","2,100,300","1,894,800"
"Friday, 14 August 2020","2,098,100","1,893,200"
"Saturday, 15 August 2020","2,091,100","1,886,200"
"Sunday, 16 August 2020","2,085,000","1,882,000"
"Monday, 17 August 2020","2,072,600","1,871,800"
"Tuesday, 18 August 2020","2,069,500","1,869,200"
"Wednesday, 19 August 2020","2,067,900","1,867,800"
"Thursday, 20 August 2020","2,065,900","1,866,200"
"Friday, 21 August 2020","2,059,900","1,860,600"
"Saturday, 22 August 2020","2,053,200","1,854,000"
"Sunday, 23 August 2020","2,047,400","1,850,900"
"Monday, 24 August 2020","2,035,200","1,838,300"
"Tuesday, 25 August 2020","2,031,100","1,834,800"
"Wednesday, 26 August 2020","2,026,000","1,831,000"
"Thursday, 27 August 2020","2,022,700","1,828,600"
"Friday, 28 August 2020","2,017,900","1,824,200"
"Saturday, 29 August 2020","1,981,800","1,791,600"
"Sunday, 30 August 2020","1,970,800","1,783,300"
"Monday, 31 August 2020","1,920,900","1,742,100"
"Tuesday, 1 September 2020","1,517,300","1,423,900"
"Wednesday, 2 September 2020","1,517,300","1,424,000"
"Thursday, 3 September 2020","1,515,700","1,423,400"
"Friday, 4 September 2020","1,514,400","1,423,100"
"Saturday, 5 September 2020","1,512,300","1,421,500"
"Sunday, 6 September 2020","1,509,400","1,420,000"
"Monday, 7 September 2020","1,501,700","1,416,500"
"Tuesday, 8 September 2020","1,498,000","1,414,200"
"Wednesday, 9 September 2020","1,497,000","1,413,400"
"Thursday, 10 September 2020","1,495,700","1,412,500"
"Friday, 11 September 2020","1,494,100","1,411,300"
"Saturday, 12 September 2020","1,491,300","1,408,900"
"Sunday, 13 September 2020","1,490,100","1,407,500"
"Monday, 14 September 2020","1,478,700","1,398,700"
"Tuesday, 15 September 2020","1,475,800","1,396,300"
"Wednesday, 16 September 2020","1,474,200","1,395,100"
"Thursday, 17 September 2020","1,473,100","1,394,300"
"Friday, 18 September 2020","1,470,100","1,391,500"
"Saturday, 19 September 2020","1,466,800","1,388,400"
"Sunday, 20 September 2020","1,465,200","1,387,200"
"Monday, 21 September 2020","1,460,500","1,384,100"
"Tuesday, 22 September 2020","1,458,400","1,382,500"
"Wednesday, 23 September 2020","1,457,200","1,381,500"
"Thursday, 24 September 2020","1,455,500","1,380,300"
"Friday, 25 September 2020","1,453,200","1,378,000"
"Saturday, 26 September 2020","1,441,200","1,367,300"
"Sunday, 27 September 2020","1,436,300","1,364,600"
"Monday, 28 September 2020","1,428,100","1,356,600"
"Tuesday, 29 September 2020","1,421,500","1,350,100"
"Wednesday, 30 September 2020","1,418,000","1,346,800"
"Thursday, 1 October 2020","1,275,200","1,218,300"
