Date,Female,Male
1 July 2020,2907700,2723600
2 July 2020,2908100,2724100
3 July 2020,2904600,2721500
4 July 2020,2894200,2714800
5 July 2020,2888500,2711000
6 July 2020,2881300,2703400
7 July 2020,2876100,2698500
8 July 2020,2863200,2688500
9 July 2020,2858500,2685600
10 July 2020,2854000,2683000
11 July 2020,2844500,2674300
12 July 2020,2837100,2671100
13 July 2020,2813000,2648600
14 July 2020,2807700,2644000
15 July 2020,2801600,2638300
16 July 2020,2794800,2631500
17 July 2020,2790900,2627900
18 July 2020,2778900,2615300
19 July 2020,2769000,2610000
20 July 2020,2745500,2590500
21 July 2020,2735900,2582100
22 July 2020,2730100,2577800
23 July 2020,2724900,2573100
24 July 2020,2715800,2565100
25 July 2020,2699600,2550800
26 July 2020,2681200,2537400
27 July 2020,2647500,2507600
28 July 2020,2638700,2500800
29 July 2020,2627600,2491800
30 July 2020,2621300,2486200
31 July 2020,2599300,2463900
1 August 2020,2131900,1934300
2 August 2020,2132100,1933900
3 August 2020,2131000,1928500
4 August 2020,2127700,1925600
5 August 2020,2126300,1924700
6 August 2020,2125300,1923900
7 August 2020,2124600,1923300
8 August 2020,2119400,1916400
9 August 2020,2116800,1913000
10 August 2020,2106000,1899600
11 August 2020,2103000,1897000
12 August 2020,2101700,1896100
13 August 2020,2100300,1894800
14 August 2020,2098100,1893200
15 August 2020,2091100,1886200
16 August 2020,2085000,1882000
17 August 2020,2072600,1871800
18 August 2020,2069500,1869200
19 August 2020,2067900,1867800
20 August 2020,2065900,1866200
21 August 2020,2059900,1860600
22 August 2020,2053200,1854000
23 August 2020,2047400,1850900
24 August 2020,2035200,1838300
25 August 2020,2031100,1834800
26 August 2020,2026000,1831000
27 August 2020,2022700,1828600
28 August 2020,2017900,1824200
29 August 2020,1981800,1791600
30 August 2020,1970800,1783300
31 August 2020,1920900,1742100
1 September 2020,1517300,1423900
2 September 2020,1517300,1424000
3 September 2020,1515700,1423400
4 September 2020,1514400,1423100
5 September 2020,1512300,1421500
6 September 2020,1509400,1420000
7 September 2020,1501700,1416500
8 September 2020,1498000,1414200
9 September 2020,1497000,1413400
10 September 2020,1495700,1412500
11 September 2020,1494100,1411300
12 September 2020,1491300,1408900
13 September 2020,1490100,1407500
14 September 2020,1478700,1398700
15 September 2020,1475800,1396300
16 September 2020,1474200,1395100
17 September 2020,1473100,1394300
18 September 2020,1470100,1391500
19 September 2020,1466800,1388400
20 September 2020,1465200,1387200
21 September 2020,1460500,1384100
22 September 2020,1458400,1382500
23 September 2020,1457200,1381500
24 September 2020,1455500,1380300
25 September 2020,1453200,1378000
26 September 2020,1441200,1367300
27 September 2020,1436300,1364600
28 September 2020,1428100,1356600
29 September 2020,1421500,1350100
30 September 2020,1418000,1346800
1 October 2020,1275200,1218300
2 October 2020,1275500,1218700
3 October 2020,1275000,1218000
4 October 2020,1274500,1217900
5 October 2020,1279100,1221500
6 October 2020,1278100,1220900
7 October 2020,1277800,1220700
8 October 2020,1277800,1220900
9 October 2020,1277600,1220600
10 October 2020,1277900,1220100
11 October 2020,1277100,1220100
12 October 2020,1275500,1218900
13 October 2020,1274600,1218200
14 October 2020,1274300,1218000
15 October 2020,1273300,1217100
16 October 2020,1269700,1213400
17 October 2020,1268300,1212800
18 October 2020,1267400,1212300
19 October 2020,1267800,1213300
20 October 2020,1266100,1212500
21 October 2020,1264600,1211300
22 October 2020,1263300,1210100
23 October 2020,1262700,1209300
24 October 2020,1261600,1207400
25 October 2020,1259700,1206700
26 October 2020,1238400,1187500
27 October 2020,1236400,1185500
28 October 2020,1235200,1184400
29 October 2020,1230600,1181300
30 October 2020,1227200,1177900
31 October 2020,1188300,1136400
1 November 2020,1819100,1746200
2 November 2020,1835100,1761900
3 November 2020,1837600,1764000
4 November 2020,1844200,1769000
5 November 2020,2006600,1857600
6 November 2020,2023400,1871000
7 November 2020,2031900,1876200
8 November 2020,2044600,1883900
9 November 2020,2061600,1904500
10 November 2020,2061300,1904800
11 November 2020,2063100,1906000
12 November 2020,2062400,1906300
13 November 2020,2059200,1904300
14 November 2020,2058500,1904000
15 November 2020,2058600,1904300
16 November 2020,2054500,1903400
17 November 2020,2053100,1902900
18 November 2020,2052700,1902600
19 November 2020,2052300,1902500
20 November 2020,2052100,1902800
21 November 2020,2051300,1901200
22 November 2020,2049100,1898900
23 November 2020,2044200,1894600
24 November 2020,2041900,1892500
25 November 2020,2039000,1890500
26 November 2020,2033600,1886200
27 November 2020,2031200,1883300
28 November 2020,2010300,1863000
29 November 2020,1985800,1847700
30 November 2020,1920200,1793300
1 December 2020,1902700,1868800
2 December 2020,1901100,1868300
3 December 2020,1894100,1864000
4 December 2020,1891600,1863200
5 December 2020,1890800,1862400
6 December 2020,1888700,1861600
7 December 2020,1882900,1858200
8 December 2020,1879500,1856400
9 December 2020,1878000,1855900
10 December 2020,1877200,1855300
11 December 2020,1875400,1854100
12 December 2020,1874600,1853500
13 December 2020,1870700,1850500
14 December 2020,1872900,1853200
15 December 2020,1871800,1852200
16 December 2020,1873500,1853700
17 December 2020,1874300,1855500
18 December 2020,1874900,1856200
19 December 2020,1879700,1860700
20 December 2020,1896300,1871500
21 December 2020,1913300,1884500
22 December 2020,1916400,1887100
23 December 2020,1918200,1888500
24 December 2020,1918500,1889100
25 December 2020,1925700,1889900
26 December 2020,1923700,1886400
27 December 2020,1923000,1886300
28 December 2020,1917200,1881100
29 December 2020,1906500,1871500
30 December 2020,1900600,1865600
31 December 2020,1883500,1847600
